utterance_id,timestamp,channel,device_type,region,language,utterance_text,asr_confidence,duration_seconds,intent,split
utt_00159,2025-11-07T15:32:00,whatsapp_voice_note,feature_phone,Western,en,What are the requirements for ID replacement?,0.902,9,requirements_information,train
utt_00501,2025-11-12T10:41:00,voice_call,android,Kigali,en,Am I eligible to apply for ESIA?,0.644,7,service_eligibility,train
utt_00397,2025-11-28T17:58:00,ivr,web,Eastern,mixed,Help me reset password yanjye.,0.964,9,reset_password_login_help,train
utt_00156,2025-11-25T19:52:00,voice_call,web,Southern,en,I submitted my aplikasiyo but I can't see the status.,0.911,2,check_application_status,train
utt_00322,2025-11-24T00:46:00,voice_call,feature_phone,Eastern,en,I want to start a new application for birth certificate.,0.81,10,start_new_application,train
utt_00213,2025-11-06T23:34:00,mobile_app_voice,android,Eastern,en,What are the requirements for ESIA?,0.942,7,requirements_information,train
utt_00235,2025-11-22T09:16:00,voice_call,web,Eastern,en,What are the requirements for driving license?,0.881,7,requirements_information,train
utt_00290,2025-11-24T21:29:00,voice_call,ios,Western,en,I paid but it is not confirmed.,0.814,7,payment_help,train
utt_00301,2025-10-13T01:54:00,voice_call,feature_phone,Kigali,en,Am I eligible to apply for driving license?,0.821,9,service_eligibility,train
utt_00357,2025-12-07T16:36:00,whatsapp_voice_note,ios,Kigali,rw,"Nshaka gusaba attestation y’imisoro, ntangira he?",0.823,4,start_new_application,train
utt_00674,2025-12-23T18:39:00,whatsapp_voice_note,ios,Southern,en,I need help with a problem on tax clearance.,0.949,9,complaint_or_support_ticket,train
utt_00329,2025-12-15T09:20:00,mobile_app_voice,feature_phone,Eastern,rw,Ese nemerewe gusaba ESIA?,0.915,3,service_eligibility,train
utt_00200,2025-11-05T04:39:00,voice_call,feature_phone,Western,rw,"Nabonye ikibazo cyo kwinjira, password yibagiwe.",0.801,5,reset_password_login_help,train
utt_00079,2025-12-19T10:31:00,ivr,web,Southern,rw,Nashaka gufata appointment kuri icyemezo cy’amavuko i Rusizi.,0.561,3,appointment_booking,train
utt_00600,2025-10-05T09:08:00,voice_call,ios,Northern,rw,Mumfashishe gufata igihe cyo marriage certificate.,0.99,7,appointment_booking,train
utt_00571,2025-12-11T08:26:00,mobile_app_voice,web,Kigali,rw,Checka niba request yanjye yarangiye.,0.691,4,check_application_status,train
utt_00447,2025-10-13T00:58:00,mobile_app_voice,ios,Eastern,en,I submitted my applicashon but I can't see the status.,0.666,7,check_application_status,train
utt_00508,2025-12-14T19:59:00,ivr,web,Northern,rw,Mumfashishe gufata igihe cyo icyemezo cy’ubukwe.,0.786,4,appointment_booking,train
utt_00628,2025-09-27T10:18:00,voice_call,feature_phone,Western,mixed,Ni izihe requirements za gusimbuza indangamuntu?,0.822,6,requirements_information,train
utt_00500,2025-10-25T11:37:00,whatsapp_voice_note,android,Eastern,mixed,Ndashaka kureba status ya application yanjye ya ESIA.,0.938,7,check_application_status,train
utt_00361,2025-11-13T12:17:00,whatsapp_voice_note,ios,Southern,rw,Nashaka gufata appointment kuri pasiporo i Nyagatare.,0.865,6,appointment_booking,train
utt_00339,2025-12-17T11:54:00,whatsapp_voice_note,ios,Kigali,mixed,Ndashaka gukora new application ya marriage certificate.,0.8,5,start_new_application,train
utt_00558,2025-11-14T00:18:00,whatsapp_voice_note,ios,Kigali,mixed,How do I pay for passport on mobile money?,0.844,5,payment_help,train
utt_00291,2025-11-09T11:05:00,whatsapp_voice_note,ios,Western,rw,Nkeneye gukora application nshya ya ESIA.,0.932,8,start_new_application,train
utt_00285,2025-09-30T16:27:00,mobile_app_voice,android,Southern,rw,Nashaka guhindura igihe cya rendez-vous.,0.743,5,cancel_or_reschedule_appointment,train
utt_00332,2025-09-30T20:45:00,whatsapp_voice_note,web,Eastern,rw,Amabwiriza yo gusaba land title ni ayahe?,0.948,4,requirements_information,train
utt_00479,2025-11-11T23:06:00,whatsapp_voice_note,web,Kigali,mixed,Help me book rendez-vous for ID replacement.,0.957,9,appointment_booking,train
utt_00055,2025-12-09T19:47:00,voice_call,feature_phone,Western,rw,Amabwiriza yo gusaba driving license ni ayahe?,0.734,7,requirements_information,train
utt_00249,2025-12-21T10:40:00,mobile_app_voice,web,Eastern,en,Help me apply for tax clearance.,0.984,9,start_new_application,train
utt_00224,2025-11-28T04:05:00,voice_call,web,Northern,en,I made a mistake in my application. How do I correct it?,0.91,2,update_application_details,train
utt_00134,2025-12-12T00:32:00,voice_call,android,Eastern,rw,"Nshaka gusaba tax clearance, ntangira he?",0.811,3,start_new_application,train
utt_00534,2025-11-06T00:36:00,ivr,web,Kigali,rw,"Nshaka gusaba icyemezo cy’amavuko, ntangira he?",0.925,9,start_new_application,train
utt_00137,2025-12-05T14:05:00,whatsapp_voice_note,web,Kigali,mixed,Eligibility ya visa on arrival ni iyihe?,0.851,5,service_eligibility,train
utt_00110,2025-12-21T13:51:00,ivr,web,Northern,en,The OTP is not coming through.,0.99,4,reset_password_login_help,train
utt_00182,2025-11-08T17:51:00,voice_call,ios,Eastern,mixed,Eligibility ya birth certificate ni iyihe?,0.781,5,service_eligibility,train
